id1,id2,matching_probability
389,983,1.0
39,598,1.0
390,2344,1.0
391,3226,1.0
392,786,1.0
393,164,1.0
395,2489,1.0
396,1149,1.0
399,2057,1.0
4,9,1.0
40,135,1.0
401,1140,1.0
403,3715,1.0
404,1284,1.0
406,1088,1.0
408,3032,1.0
41,70,1.0
412,1262,1.0
414,224,1.0
415,1096,1.0
416,2757,1.0
418,856,1.0
419,1671,1.0
42,71,1.0
420,1195,1.0
421,2160,1.0
424,629,1.0
428,1379,1.0
429,1058,1.0
430,2580,1.0
432,1844,1.0
435,1021,1.0
437,1294,1.0
438,3911,1.0
44,10,1.0
441,3362,1.0
442,1247,1.0
443,1590,1.0
446,1267,1.0
447,2996,1.0
449,228,1.0
45,149,1.0
450,483,1.0
451,1684,1.0
452,2954,1.0
454,2141,1.0
456,1396,1.0
457,605,1.0
459,2995,1.0
460,1237,1.0
464,1522,1.0
465,944,1.0
468,3629,1.0
469,2607,1.0
47,68,1.0
473,2840,1.0
474,1906,1.0
476,1894,1.0
477,1622,1.0
478,1491,1.0
482,1266,1.0
483,3799,1.0
484,2566,1.0
487,960,1.0
488,4868,1.0
49,175,1.0
491,2146,1.0
495,2072,1.0
496,2537,1.0
498,2484,1.0
499,1166,1.0
5,14,1.0
50,26,1.0
501,504,1.0
504,2894,1.0
505,1933,1.0
507,1690,1.0
508,2096,1.0
509,3416,1.0
51,291,1.0
511,3261,1.0
512,936,1.0
515,3667,1.0
517,1885,1.0
518,2705,1.0
52,160,1.0
521,3585,1.0
522,3553,1.0
524,1514,1.0
525,2721,1.0
528,1913,1.0
529,1252,1.0
53,89,1.0
533,2711,1.0
535,1498,1.0
536,2698,1.0
54,2780,1.0
540,4352,1.0
542,491,1.0
546,924,1.0
548,3247,1.0
549,244,1.0
55,199,1.0
554,1644,1.0
555,4238,1.0
556,1014,1.0
557,4388,1.0
558,2013,1.0
559,2350,1.0
56,393,1.0
561,1533,1.0
563,2683,1.0
566,906,1.0
567,981,1.0
572,852,1.0
574,449,1.0
578,1557,1.0
579,2007,1.0
58,2597,1.0
585,926,1.0
586,671,1.0
587,713,1.0
589,3115,1.0
590,1449,1.0
592,2509,1.0
594,3113,1.0
595,3277,1.0
596,2753,1.0
6,142,1.0
602,3025,1.0
604,3017,1.0
605,1355,1.0
607,2079,1.0
608,1734,1.0
612,4144,1.0
613,1932,1.0
615,3346,1.0
616,1700,0.966666666667
617,2759,1.0
618,577,1.0
619,4659,1.0
62,115,1.0
621,2768,1.0
624,1775,1.0
625,3476,1.0
627,2263,1.0
629,1944,0.9
630,748,1.0
631,2190,1.0
632,3233,1.0
634,1802,1.0
638,1919,0.9
64,99,1.0
643,1570,1.0
645,3383,1.0
646,4854,1.0
65,761,1.0
650,4792,1.0
652,3252,1.0
653,3048,1.0
654,1345,1.0
655,4894,1.0
658,2380,1.0
659,1926,1.0
66,356,1.0
660,2869,1.0
661,1837,1.0
664,1475,1.0
667,3599,1.0
669,4274,1.0
67,120,1.0
671,3897,1.0
673,3808,1.0
675,1229,1.0
676,3531,1.0
679,2352,1.0
680,2011,1.0
684,1102,1.0
685,4379,1.0
686,2743,1.0
687,3062,1.0
689,2998,1.0
69,311,1.0
694,4839,1.0
695,3931,1.0
696,4407,1.0
698,1634,1.0
699,2691,1.0
7,17,1.0
70,111,1.0
704,3253,1.0
705,2329,1.0
713,4102,1.0
716,2907,1.0
717,4340,1.0
72,736,1.0
722,2671,1.0
723,3353,1.0
727,3492,1.0
728,947,1.0
729,3171,1.0
73,318,1.0
734,3720,1.0
735,2943,1.0
736,3316,1.0
739,800,1.0
74,83,1.0
748,3976,1.0
749,2578,1.0
75,283,1.0
750,633,1.0
751,1191,1.0
754,3560,1.0
756,3674,1.0
759,789,1.0
76,47,1.0
766,1579,1.0
769,4172,1.0
77,91,1.0
770,2312,1.0
772,4173,1.0
775,4016,1.0
776,680,1.0
779,3022,1.0
780,2756,1.0
781,2631,1.0
782,2628,1.0
784,2679,1.0
785,3719,1.0
786,3555,1.0
79,320,1.0
792,1083,1.0
793,2157,1.0
794,3993,1.0
795,2873,1.0
797,2193,1.0
798,2913,1.0
8,57,1.0
800,4548,1.0
806,986,1.0
812,4909,1.0
815,2665,1.0
818,2430,1.0
820,2429,1.0
821,3663,1.0
824,1835,1.0
826,3714,1.0
827,4726,1.0
83,914,1.0
830,3139,1.0
834,2777,1.0
84,674,1.0
841,1255,1.0
844,3727,1.0
845,3764,1.0
847,1915,1.0
85,4391,1.0
850,1502,0.9
853,3173,1.0
854,2295,0.933333333333
858,3983,1.0
86,251,1.0
866,4605,1.0
869,1612,1.0
87,388,1.0
870,4475,1.0
871,4480,1.0
872,4055,1.0
875,3061,1.0
882,3974,1.0
883,1598,1.0
888,3740,1.0
889,4013,1.0
89,427,1.0
9,33,1.0
90,394,1.0
903,2354,1.0
91,103,1.0
910,1607,1.0
911,2833,1.0
913,1754,1.0
914,3313,1.0
917,4911,1.0
92,193,1.0
920,2278,1.0
921,3390,1.0
922,4010,1.0
924,3071,1.0
928,2909,1.0
93,824,1.0
932,4510,1.0
934,3456,1.0
937,3619,1.0
94,119,1.0
943,4671,1.0
946,2412,1.0
95,72,0.8
951,3276,1.0
955,1276,1.0
960,2966,1.0
97,225,1.0
970,4553,1.0
976,1641,1.0
977,4224,1.0
986,3923,1.0
997,1383,1.0
