A_id,B_id
736,3316
151,780
1534,4783
1537,4852
157,294
1570,4607
1570,4607
1582,1845
1600,4494
1600,4494
1636,4897
1636,4897
169,670
172,698
1726,2781
1741,2968
19,5
2008,3985
202,682
2188,3120
2188,3120
22,39
220,2313
2209,2678
2209,2641
223,2008
616,1700
235,3213
238,1362
241,649
244,2223
25,93
250,688
256,1778
2593,2133
262,1614
268,615
274,758
277,1098
28,108
280,1629
631,2190
283,1285
286,2180
289,245
295,152
3001,1524
307,1356
31,168
310,176
343,732
334,3789
340,1070
346,645
349,2290
352,1846
358,1128
364,222
559,2350
37,212
373,1180
385,1200
391,3226
4,9
403,3715
406,1088
412,1262
418,856
421,2160
430,2580
442,1247
451,1684
454,2141
457,605
625,3476
460,1237
469,2607
478,1491
478,1491
484,2566
49,175
496,2537
499,1166
505,1933
508,2096
511,3261
517,1885
535,1498
55,199
556,1014
586,671
589,3115
592,2509
595,3277
604,3017
613,1932
619,4659
634,1802
643,1570
646,4854
652,3252
658,2380
661,1837
667,3599
67,120
673,3808
679,2352
7,17
70,111
727,3492
739,800
748,3976
751,1191
754,3560
76,47
766,1579
769,4172
769,4172
772,4173
775,4016
781,2631
784,2679
79,320
793,2157
802,2385
844,3727
847,1915
85,4391
853,3173
871,4480
883,1598
889,4013
91,103
91,103
910,1607
913,1754
922,4010
928,2909
934,3456
94,119
943,4671
946,2412
955,1276
97,225
970,4553
976,1641
997,1383
1383,2865
278,1454
1058,2989
1589,3609
199,126
1359,1999
1326,2123
221,487
288,592
1216,4469
756,3674
342,829
638,1919
304,802
464,1522
452,2954
512,936
850,1502
