id,name,year,duration,genre,actors
47,Ant-Man and the Wasp,2018,118 min,"Action, Adventure, Comedy","Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins"
48,Glass,2019,129 min,"Drama, Sci-Fi, Thriller","James McAvoy,Bruce Willis,Samuel L. Jackson,Anya Taylor-Joy"
49,Rick and Morty,2013,23 min,"Animation, Adventure, Comedy","Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke"
50,The Avengers,2012,143 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner"
51,Altered Carbon,2018,60 min,"Action, Drama, Sci-Fi","Chris Conner,Renée Elise Goldsberry,Joel Kinnaman,James Purefoy"
52,Bird Box,2018,124 min,"Drama, Horror, Sci-Fi","Sandra Bullock,Trevante Rhodes,John Malkovich,Sarah Paulson"
53,Venom,2018,112 min,"Action, Sci-Fi, Thriller","Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze"
54,Pokémon Detective Pikachu,2019,,"Action, Adventure, Comedy","Ryan Reynolds,Suki Waterhouse,Kathryn Newton,Rob Delaney"
55,A Quiet Place,2018,90 min,"Drama, Horror, Mystery","Emily Blunt,John Krasinski,Millicent Simmonds,Noah Jupe"
56,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi","Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy"
57,Spider-Man: Homecoming,2017,133 min,"Action, Adventure, Sci-Fi","Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei"
58,Avengers: Age of Ultron,2015,141 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth"
59,DC's Legends of Tomorrow,2016,42 min,"Action, Adventure, Drama","Brandon Routh,Caity Lotz,Amy Louise Pemberton,Dominic Purcell"
60,Captain America: The First Avenger,2011,124 min,"Action, Adventure, Sci-Fi","Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell"
61,Star Trek: The Next Generation,"1987,1994",44 min,"Action, Adventure, Mystery","Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton"
62,Justice League,2017,120 min,"Action, Adventure, Fantasy","Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller"
63,Project Blue Book,2019,45 min,"Drama, Mystery, Sci-Fi","Aidan Gillen,Michael Malarkey,Laura Mennell,Ksenia Solo"
64,Ready Player One,2018,140 min,"Action, Adventure, Sci-Fi","Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe"
65,Incredibles 2,2018,118 min,"Animation, Action, Adventure","Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner"
66,Solo: A Star Wars Story,2018,135 min,"Action, Adventure, Fantasy","Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover"
67,The Passage,2019,60 min,"Action, Adventure, Drama","Mark-Paul Gosselaar,Saniyya Sidney,Jamie McShane,Caroline Chikezie"
68,The Matrix,1999,136 min,"Action, Sci-Fi","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving"
69,Serenity,2019,106 min,"Drama, Mystery, Sci-Fi","Matthew McConaughey,Anne Hathaway,Diane Lane,Jason Clarke"
70,Dune,2020,,"Adventure, Drama, Sci-Fi","Jason Momoa,Zendaya,Oscar Isaac,Josh Brolin"
71,"Roswell, New Mexico",2019,60 min,"Drama, Romance, Sci-Fi","Jeanine Mason,Nathan Parsons,Michael Vlamis,Lily Cowles"
72,Inception,2010,148 min,"Action, Adventure, Sci-Fi","Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe"
73,Passengers,2016,116 min,"Drama, Romance, Sci-Fi","Jennifer Lawrence,Chris Pratt,Michael Sheen,Laurence Fishburne"
74,Men in Black: International,2019,,"Action, Comedy, Sci-Fi","Tessa Thompson,Chris Hemsworth,Rebecca Ferguson,Liam Neeson"
75,Deadpool,2016,108 min,"Action, Adventure, Comedy","Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein"
76,The X-Files,1993,45 min,"Drama, Mystery, Sci-Fi","David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis"
77,Annihilation,2018,115 min,"Adventure, Drama, Horror","Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,Benedict Wong"
78,White Chamber,2018,89 min,"Drama, Sci-Fi","Shauna Macdonald,Oded Fehr,Amrita Acharia,Sharon Maughan"
79,Wonder Woman,2017,141 min,"Action, Adventure, Fantasy","Gal Gadot,Chris Pine,Robin Wright,Lucy Davis"
80,Daredevil,"2015,2018",54 min,"Action, Crime, Drama","Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson"
81,Lucy in the Sky,2019,,"Drama, Sci-Fi","Natalie Portman,Dan Stevens,Zazie Beetz,Jon Hamm"
82,Hellboy,2004,122 min,"Action, Fantasy, Horror","Ron Perlman,Doug Jones,Selma Blair,John Hurt"
83,Transformers: The Last Knight,2017,154 min,"Action, Adventure, Sci-Fi","Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock"
84,Captain America: Civil War,2016,147 min,"Action, Adventure, Sci-Fi","Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan"
85,Brightburn,2019,,"Drama, Horror, Sci-Fi","Elizabeth Banks,David Denman,Matt Jones,Meredith Hagner"
86,The Man in the High Castle,2015,60 min,"Drama, Sci-Fi, Thriller","Alexa Davalos,Luke Kleintank,Rufus Sewell,Rupert Evans"
87,Sonic the Hedgehog,2019,,"Animation, Action, Adventure","Jim Carrey,Neal McDonough,James Marsden,Ben Schwartz"
88,Dark,2017,60 min,"Crime, Drama, Mystery","Oliver Masucci,Karoline Eichhorn,Jördis Triebel,Louis Hofmann"
89,Iron Man,2008,126 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges"
90,Jurassic Park,1993,127 min,"Adventure, Sci-Fi, Thriller","Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough"
91,Happy Death Day 2U,2019,100 min,"Drama, Horror, Mystery","Jessica Rothe,Israel Broussard,Phi Vu,Suraj Sharma"
92,X-Men: Apocalypse,2016,144 min,"Action, Adventure, Sci-Fi","James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult"
93,Blade Runner 2049,2017,164 min,"Drama, Mystery, Sci-Fi","Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista"
94,Bill & Ted Face the Music,2020,,"Comedy, Music, Sci-Fi","Keanu Reeves,William Sadler,Alex Winter"
95,The Twilight Zone,"1959,1964",51 min,"Fantasy, Horror, Mystery","Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor"
96,Osmosis,2019,55 min,"Romance, Sci-Fi","Agathe Bonitzer,Hugo Becker,Gaël Kamilindi,Manoel Dupont"
97,Stargate SG-1,"1997,2007",44 min,"Action, Adventure, Drama","Richard Dean Anderson,Michael Shanks,Amanda Tapping,Christopher Judge"
98,Thor,2011,115 min,"Action, Adventure, Fantasy","Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston"
99,A.I. Rising,2018,85 min,"Drama, Romance, Sci-Fi","Sebastian Cavazza,Stoya,Marusa Majer,Kirsty Besterman"
100,Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi","Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz"
101,Escape Room,2019,99 min,"Action, Adventure, Drama","Taylor Russell,Logan Miller,Jay Ellis,Tyler Labine"
102,Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi","Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford"
103,Smallville,"2001,2011",60 min,"Adventure, Drama, Romance","Tom Welling,Michael Rosenbaum,Allison Mack,Kristin Kreuk"
104,Star Trek: Deep Space Nine,"1993,1999",45 min,"Action, Adventure, Drama","Avery Brooks,Rene Auberjonois,Cirroc Lofton,Alexander Siddig"
105,The First Purge,2018,98 min,"Action, Horror, Sci-Fi","Y'lan Noel,Lex Scott Davis,Joivan Wade,Steve Harris"
106,Ant-Man,2015,117 min,"Action, Adventure, Comedy","Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly"
107,Lifeforce,1985,101 min,"Action, Horror, Mystery","Steve Railsback,Mathilda May,Peter Firth,Frank Finlay"
108,Star Trek: Voyager,"1995,2001",44 min,"Action, Adventure, Sci-Fi","Kate Mulgrew,Robert Beltran,Roxann Dawson,Robert Duncan McNeill"
109,Avatar,2009,162 min,"Action, Adventure, Fantasy","Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez"
110,Watchmen,2009,162 min,"Action, Drama, Mystery","Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman"
111,Bill & Ted's Excellent Adventure,1989,90 min,"Adventure, Comedy, Music","Keanu Reeves,Alex Winter,George Carlin,Terry Camilleri"
112,Person of Interest,"2011,2016",43 min,"Action, Crime, Drama","Jim Caviezel,Taraji P. Henson,Kevin Chapman,Michael Emerson"
113,High Life,2018,110 min,"Adventure, Drama, Horror","Robert Pattinson,Juliette Binoche,André Benjamin,Mia Goth"
114,Legion,2017,60 min,"Action, Drama, Sci-Fi","Dan Stevens,Rachel Keller,Bill Irwin,Amber Midthunder"
115,Alien,1979,116 min,"Horror, Sci-Fi","Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright"
116,Under the Skin,2013,108 min,"Drama, Horror, Sci-Fi","Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell"
117,A-X-L,2018,98 min,"Action, Adventure, Family","Alex Neustaedter,Becky G,Alex MacNicoll,Dominic Rains"
118,Star Trek,"1966,1969",50 min,"Action, Adventure, Sci-Fi","William Shatner,Leonard Nimoy,DeForest Kelley,Nichelle Nichols"
119,The New Mutants,2019,,"Action, Horror, Sci-Fi","Maisie Williams,Anya Taylor-Joy,Antonio Banderas,Charlie Heaton"
120,The Incredible Hulk,2008,112 min,"Action, Adventure, Sci-Fi","Edward Norton,Liv Tyler,Tim Roth,William Hurt"
121,Star Wars: Episode VIII - The Last Jedi,2017,152 min,"Action, Adventure, Fantasy","Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher"
122,Iron Man 3,2013,130 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle"
123,Castle Rock,2018,60 min,"Drama, Fantasy, Horror","André Holland,Melanie Lynskey,Bill Skarsgård,Jane Levy"
124,Dune,1984,137 min,"Action, Adventure, Sci-Fi","Kyle MacLachlan,Virginia Madsen,Francesca Annis,Leonardo Cimino"
125,Runaways,2017,60 min,"Action, Drama, Sci-Fi","Rhenzy Feliz,Lyrica Okano,Virginia Gardner,Ariela Barer"
126,Kong: Skull Island,2017,118 min,"Action, Adventure, Fantasy","Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly"
127,Black Lightning,2018,43 min,"Action, Drama, Sci-Fi","Cress Williams,China Anne McClain,Nafessa Williams,Christine Adams"
128,The Predator,2018,107 min,"Action, Adventure, Sci-Fi","Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key"
129,Back to the Future,1985,116 min,"Adventure, Comedy, Sci-Fi","Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover"
130,Upgrade,2018,100 min,"Action, Sci-Fi, Thriller","Logan Marshall-Green,Melanie Vallejo,Steve Danielsen,Abby Craden"
131,Logan,2017,137 min,"Action, Drama, Sci-Fi","Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook"
132,The Martian,2015,144 min,"Adventure, Drama, Sci-Fi","Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara"
133,The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci"
134,Spider-Man,2002,121 min,"Action, Adventure, Sci-Fi","Tobey Maguire,Kirsten Dunst,Willem Dafoe,James Franco"
135,The Gifted,2017,43 min,"Action, Drama, Fantasy","Stephen Moyer,Amy Acker,Sean Teale,Natalie Alyn Lind"
136,Lost in Space,2018,60 min,"Adventure, Drama, Family","Molly Parker,Toby Stephens,Maxwell Jenkins,Taylor Russell"
137,Doctor Strange,2016,115 min,"Action, Adventure, Fantasy","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong"
138,A Clockwork Orange,1971,136 min,"Crime, Drama, Sci-Fi","Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke"
139,Batman v Superman: Dawn of Justice,2016,151 min,"Action, Adventure, Fantasy","Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg"
140,Misfits,"2009,2013",60 min,"Comedy, Drama, Fantasy","Nathan Stewart-Jarrett,Joseph Gilgun,Iwan Rheon,Lauren Socha"
141,Travelers,2016,45 min,"Drama, Mystery, Sci-Fi","Eric McCormack,MacKenzie Porter,Nesta Cooper,Jared Abrahamson"
142,Iron Man 2,2010,124 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle"
143,Jessica Jones,"2015,2019",56 min,"Action, Crime, Drama","Krysten Ritter,Rachael Taylor,Eka Darville,Carrie-Anne Moss"
144,Logan's Run,1976,119 min,"Action, Sci-Fi","Michael York,Jenny Agutter,Richard Jordan,Roscoe Lee Browne"
145,Prospect,2018,100 min,"Drama, Sci-Fi, Thriller","Sophie Thatcher,Jay Duplass,Pedro Pascal,Luke Pitzrick"
146,Alien: Covenant,2017,122 min,"Horror, Sci-Fi, Thriller","Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride"
147,The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi","Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine"
148,Sense8,"2015,2018",60 min,"Drama, Mystery, Sci-Fi","Doona Bae,Jamie Clayton,Tina Desai,Tuppence Middleton"
149,Maniac,2018,40 min,"Comedy, Drama, Sci-Fi","Jonah Hill,Emma Stone,Sonoya Mizuno,Justin Theroux"
150,X-Men Origins: Wolverine,2009,107 min,"Action, Adventure, Sci-Fi","Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston"
151,Future Man,2017,30 min,"Action, Adventure, Comedy","Eliza Coupe,Josh Hutcherson,Derek Wilson,Glenne Headly"
152,Z Nation,"2014,2018",44 min,"Action, Comedy, Drama","Russell Hodgkinson,Nat Zang,Keith Allan,Kellita Smith"
153,Godzilla vs. Kong,2020,,"Action, Drama, Sci-Fi","Millie Bobby Brown,Alexander Skarsgård,Eiza González,Danai Gurira"
154,The Eternals,,,"Action, Drama, Fantasy",
155,Fringe,"2008,2013",46 min,"Drama, Mystery, Sci-Fi","Anna Torv,Joshua Jackson,John Noble,Jasika Nicole"
156,Stargate: Atlantis,"2004,2009",44 min,"Action, Adventure, Drama","Joe Flanigan,Rachel Luttrell,David Hewlett,Jason Momoa"
157,Power Rangers,2017,124 min,"Action, Adventure, Sci-Fi","Dacre Montgomery,Naomi Scott,RJ Cyler,Ludi Lin"
158,Ad Astra,2019,,"Adventure, Drama, Mystery","Brad Pitt,Tommy Lee Jones,Donald Sutherland,Ruth Negga"
159,Life,2017,104 min,"Horror, Sci-Fi, Thriller","Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Hiroyuki Sanada"
