id,name,year,duration,genre,actors
51,Escape Room,2019,99 min,"Action, Adventure, Drama","Taylor Russell,Logan Miller,Jay Ellis,Tyler Labine"
52,Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi","Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford"
53,The First Purge,2018,98 min,"Action, Horror, Sci-Fi","Y'lan Noel,Lex Scott Davis,Joivan Wade,Steve Harris"
54,Ant-Man,2015,117 min,"Action, Adventure, Comedy","Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly"
55,Lifeforce,1985,101 min,"Action, Horror, Mystery","Steve Railsback,Mathilda May,Peter Firth,Frank Finlay"
56,Avatar,2009,162 min,"Action, Adventure, Fantasy","Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez"
57,Watchmen,2009,162 min,"Action, Drama, Mystery","Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman"
58,Bill & Ted's Excellent Adventure,1989,90 min,"Adventure, Comedy, Music","Keanu Reeves,Alex Winter,George Carlin,Terry Camilleri"
59,High Life,2018,110 min,"Adventure, Drama, Horror","Robert Pattinson,Juliette Binoche,André Benjamin,Mia Goth"
60,Alien,1979,116 min,"Horror, Sci-Fi","Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright"
61,Under the Skin,2013,108 min,"Drama, Horror, Sci-Fi","Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell"
62,A-X-L,2018,98 min,"Action, Adventure, Family","Alex Neustaedter,Becky G,Alex MacNicoll,Dominic Rains"
63,The Incredible Hulk,2008,112 min,"Action, Adventure, Sci-Fi","Edward Norton,Liv Tyler,Tim Roth,William Hurt"
64,Star Wars: Episode VIII - The Last Jedi,2017,152 min,"Action, Adventure, Fantasy","Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher"
65,Iron Man 3,2013,130 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle"
66,Dune,1984,137 min,"Action, Adventure, Sci-Fi","Kyle MacLachlan,Virginia Madsen,Francesca Annis,Leonardo Cimino"
67,Kong: Skull Island,2017,118 min,"Action, Adventure, Fantasy","Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly"
68,The Predator,2018,107 min,"Action, Adventure, Sci-Fi","Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key"
69,Back to the Future,1985,116 min,"Adventure, Comedy, Sci-Fi","Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover"
70,Upgrade,2018,100 min,"Action, Sci-Fi, Thriller","Logan Marshall-Green,Melanie Vallejo,Steve Danielsen,Abby Craden"
71,Logan,2017,137 min,"Action, Drama, Sci-Fi","Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook"
72,The Martian,2015,144 min,"Adventure, Drama, Sci-Fi","Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara"
73,The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci"
74,Spider-Man,2002,121 min,"Action, Adventure, Sci-Fi","Tobey Maguire,Kirsten Dunst,Willem Dafoe,James Franco"
75,Doctor Strange,2016,115 min,"Action, Adventure, Fantasy","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong"
76,A Clockwork Orange,1971,136 min,"Crime, Drama, Sci-Fi","Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke"
77,Batman v Superman: Dawn of Justice,2016,151 min,"Action, Adventure, Fantasy","Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg"
78,Iron Man 2,2010,124 min,"Action, Adventure, Sci-Fi","Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle"
79,Logan's Run,1976,119 min,"Action, Sci-Fi","Michael York,Jenny Agutter,Richard Jordan,Roscoe Lee Browne"
